__label__small	That #FridayFeeling of a surprise #USNavy reunion with your mom on national TV with @kellyripa and @RyanSeacrest! _RETWEET …	1361
__label__high	On June 6, 1944, nearly 160,00 Allied troops landed along a heavily fortified, 50-mile stretch of French coastline in operation known as D-Day. — by day's end, the Allies had gained a foothold to begin liberating Europe. #DDay75 _URL … _IMAGE	3689
__label__small	Acting Secretary of #USNavy Sean Stackley on #SSN789. #IndianaChristening _IMAGE	511
__label__moderate	Raise the roof!Seabees assigned to #USNavy Mobile Construction Battalion 1 recently helped rebuild a roof for a home that was severely damaged by Typhoon Mangkhut in Rota, Commonwealth of the Northern Mariana Islands. _IMAGE	2784
__label__high	#TuesdayThoughts: There's no better gift than being home for the holidays following your six-month deployment! _IMAGE	1605
__label__moderate	Around the fleet in Monday's #USNavy photos of the day. info and download: _URL … _IMAGE	1386
__label__moderate	Dallas Holds Inactivation Ceremony After 36 Years of Service - _URL … _IMAGE	1586
__label__small	Check out the latest from @CNORichardson's trip to #SouthAmerica and his time spent in #Brazil strengthening an important #USNavy partnership. _RETWEET …	2467
__label__high	The guided-missile cruiser #USSHueCity (CG 66) rescued three fishermen today off the coast of Georgia. Read more about the early morning call to help - _URL … _IMAGE	2016
__label__moderate	Learn more about how the @USCG is working alongside the #USNavy in helping enforce the sovereignty of partner nations in disputed waters - _URL …	3713
__label__moderate	#PacificPartnership 2017 shifts focus to humanitarian aid & disaster relief - _URL  _IMAGE	294
__label__high	#USSterett pulls into #HongKong for visit as 7th fleet deployment continues. - _URL … _IMAGE	2019
__label__moderate	Icebergs and international learnings – the #USNavy partners with its Canadian counterparts in #Arctic operations. #NavyPartnerships Read more: _URL … _IMAGE	4348
__label__moderate	#ThursdayThoughts: Message from #USNavy surgeon general about professional behavior - _URL … @NavyMedicine _IMAGE	1242
__label__moderate	Learn from those who have gone before you. #USNavy chief selects listen to Ret. Fleet Master Chief April Beldo-Lilley during the 16th Annual CPO Pride Day aboard the USS Midway Museum in #SanDiego, the largest gathering of chiefs and chief selects during #ChiefSeason. #AtTheHelm _IMAGE	4087
__label__high	#USSRonaldReagan CSG visits South Korea following regularly scheduled exercise with Republic of Korea Navy - _URL … _IMAGE	1374
__label__high	"Thank you for 223 years of service in the Navy the nation needs. #HappyBirthday! MT @NAVSUPSYSCOM: Happy 223rd Birthday #USNavy Supply Corps! ""Ready for Sea."" _IMAGE"	1910
__label__small	#ICYMI: Stay up to date on all the updates made by @USNavyCNO by reading Navy Family Framework Version 2.0 today! _RETWEET …	3984
__label__high	As we get our 244th year of protecting and defending America underway, we're taking one more look at how we celebrated our #243NavyBday and how our #USNavy Sailors are #ForgedByTheSea - _URL … _IMAGE	2754
__label__moderate	LIVE NOW: Watch #USNavy's newest Sailors graduate boot camp before they’re #ForgedByTheSea. _URL …	3051
__label__high	MT @FEMA: #HurricaneIrma2017 checklist.. Bring lightweight items indoors Double-check evacuation route Plan for pets Charge devices	1172
__label__high	#ChildhoodDreamIn5Words: To be a #USNavy Sailor! _IMAGE	1038
__label__moderate	Together with our partners and allies – like the @RoyalNavy, we're stronger.Travel with @USNavyEurope's Adm. James Foggo to the home of the U.K.'s ballistic submarine fleet, which has been supporting our submarine and surface forces for decades - _URL … _IMAGE	2492
__label__small	TODAY: T-45C flight ops expected to resume using modified mask while cause of physiological episodes investigated - _URL  _IMAGE	439
__label__small	Always ready! MT @Amphib7FLT #31stMEU rubber raid craft push out of the back of #USSGreenBay. #TalismanSaber17 _IMAGE	926
__label__moderate	#USSJohnSMcCain departs Changi Naval Base for heavy lift preparations and repairs - _URL … via @US7thFleet _IMAGE	1293
__label__moderate	Around the fleet with today's #USNavy photos of the day:Ice dive training in Minnesota, @ExerciseCG amphibious operations, #USSChief visits Bruneil, and #selfie time in Thailand. info and download: _URL … _IMAGE	3211
__label__high	Ahead of #IrmaHurricane2017, #USNavy's USS Abraham Lincoln, USS Iwo Jima, USS New York and USS Farragut underway - _URL … _IMAGE	1187
__label__high	#NeverForget _RETWEET …	4091
__label__moderate	#USSMilius joins Forward Deployed Naval Forces in Yokosuka, Japan, adding another upgraded Aegis Baseline 9 destroyer to the waterfront - _URL … #NavyLethality _IMAGE	2233
__label__moderate	MT @USNavyEurope: #SaxonWarrior 2017, Aug 1-10, is & co-hosted, joint & multinational exercise demonstrating allied capability _IMAGE	984
__label__small	#ICYMI: Keel laying and authentication mark symbolic beginning of #USNavy #DDG121 that honors a @USMC trailblazer - _URL  _IMAGE	212
__label__moderate	After 14 years forward deployed, #USStethem arrives at new homeport back in U.S. _URL … _IMAGE	3883
__label__small	Almost #IndianaChristening! MT @VP: Landed at @JBLEnews thanked courageous servicemen & women stationed here & their families for service. _IMAGE	517
__label__high	.@USSHARRYSTRUMAN Strike Group returns to Eastern Mediterranean to support Operation Inherent Resolve - _URL … @USNavyEurope @CJTFOIR _IMAGE	2300
__label__high	#USSKearsarge, #USSArlington and 22nd Marine Expeditionary Unit ready to support #FlorenceHurricane2018 relief effort - _URL … _IMAGE	2626
__label__moderate	Applications being accepted for Seaman-To-Admiral (STA-21) commissioning program until July 1 - _URL  _IMAGE	461
__label__moderate	Future #USSThomasHudner successfully completes builder's trials, making the future guided-missile destroyer one step closer to delivery to the fleet - _URL … (File photo) _IMAGE	2042
__label__moderate	On the path towards increased naval power for our #NavyTheNationNeeds. _RETWEET …	2204
__label__moderate	A final farewell by #USNavy Reserve’s 15th force master chief - _URL … _IMAGE	1349
__label__moderate	#NavyReadiness MT @US5thFleet: #USNavy Sailors man a .50-caliber machine gun during a small-boat attack drill aboard the guided-missile destroyer #USSJasonDunham in #US5thFleet. _IMAGE	2750
__label__small	Live webcasts of #SNA2017 Symposium: “Distributed Lethality, Enabling #SeaControl” sessions continue Wednesday - _URL  _IMAGE	32
__label__small	Online retirement requests ready - _URL … _IMAGE	1477
__label__moderate	Mark your calendars for tomorrow at 9 a.m. EST!Watch as the #USNavy's future #USSiouxCity #LCS11 is commissioned, adding its #NavyCapacity to our fleet - _URL … _IMAGE	2860
__label__moderate	First half of #BALTOPS2019 concludes with precision and accuracy with Hellfire missile exercise off the coast of #Lithuania - _URL … _IMAGE	3758
__label__moderate	#GoNavy, Beat @USArmy! MT @ArmyNavyGame: We are proud to announce the future location of #ArmyNavy football! _IMAGE	1115
__label__high	#USNavy photos of the day: #USSWayneEMeyer celebrates ten years of service, we team up alongside the @USMC during #TigerStrike 2019, its picture day for #Malabar 2019, and its time for target practice aboard #USSJohnPMurtha. info & download _URL … _IMAGE	4188
__label__small	#USNavy's future #USSBillings #LCS15 honors #Montana's largest city. First ship of its name in naval service - _URL  _IMAGE	831
__label__moderate	Fly with us on one of our Hurricane #Irma search & rescue missions above Florida Keys - _URL … @NBCNightlyNews @Miguelnbc _IMAGE	1207
__label__small	.@DeptOfDefense and @DeptVetAffairs release online tool to assist #veterans with discharge upgrade process - _URL … _IMAGE	1818
__label__small	TODAY 11A ET: FY18 active, FTS and Reserve E-7 boards results to be posted to commands' BUPERS Online (BOL) accounts. _IMAGE	994
__label__moderate	Earlier today @POTUS visited Naval Air Station Sigonella, last stop on #POTUSAbroad trip, where he spoke to service members & their families _IMAGE	648
__label__moderate	Today @TalismanSabre 2019 wraps up! The exercise focused on enhancing military relationships with key allies and partners and improving #NavyLethality in the Indo-Pacific. #NavyPartnerships _RETWEET …	3901
__label__high	RT @USNavyEurope: 30 ships from 12 @NATO ally & partner nations sail in formation in #Baltic during #BALTOPS - #46yrsStrong & one of largest exercises in Northern Europe w/ 22 nations participating #WeAreNATO _IMAGE	2299
__label__moderate	Add another layer of cyber security to your account in addiiton to your password using two-factor authentication - _URL … _IMAGE	673
__label__moderate	Around the fleet with today's #USNavy photos of the day:Flight operations aboard #USSEssex and @USSHarrySTruman, an emergency appendectomy aboard #USSomerset during #EnduringPromise, and #USSpruance’s live-fire evolution. info and download: _URL … _IMAGE	2914
__label__moderate	#USNavy photos of the day: #USNavy #Sailors record for #UnitedThroughReading, #USSGabrielleGiffords transits the #SouthChinaSea, #IndianNavy sailors move a casualty and #USSCarney sails in the Atlantic info & download : _URL … _IMAGE	4346
__label__high	#LIVENOW: Watch as the #USNavy's newest Freedom-variant littoral combat ship, USS Billings (LCS 15), joins the fleet during its commissioning ceremony in Key West, Florida. _RETWEET …	3932
__label__high	#TBT to Ensign Roger Staubach tossing a football during a break from his duties in Da Nang, Vietnam, October 1966. He was the 129th overall pick in the 1964 #NFLDraft out of the @NavalAcademy. (Ray Mahon/Courtesy @starsandstripes, All Rights Reserved) _IMAGE	2146
__label__small	LIVE NOW: VADM David Johnson hosts Ship Maintenance Panel at #SNA2018 - _URL … @SurfaceWarriors _IMAGE	1754
__label__moderate	Don't miss out on a chance to win this once-in-a-lifetime opportunity! _RETWEET …	3573
__label__small	"RT @secnav76: ""We will not & must not sacrifice training and maintenance in favor of operations without properly weighing and mitigating the risks. -#SECNAV76 at the 30th Annual @navysna National Symposium banquet reception. _IMAGE"	1764
__label__moderate	#USNavy alongside French and Australian maritime forces participated in a joint anti-submarine exercise #SHAREM195 in the #ArabianSea. — _URL … _IMAGE	2992
__label__moderate	#USSVellaGulf returns from 8-month deployment - _URL … (File photo) _IMAGE	1632
__label__moderate	#USNavy Los Angeles-class fast-attack submarine #USSAlbuquerque #SSN706 decommissioned after 33 years of service - _URL  _IMAGE	230
__label__small	Looking for #USNavy apps? Search no further. There's an App Locker for that now! - _URL  _IMAGE	298
__label__moderate	MT @NavStress: Our ability to navigate #stress is linked to proper #nutrition, #fitness, #sleep and #communication - _URL  _IMAGE	259
__label__small	MT @COMNAVFORJAPAN: CVW-5 homecomings are complete as VAW-125 returns to MCAS Iwakuni after their maiden deployment aboard #CVN76. _IMAGE	1026
__label__small	Operating in @US7thFleet, #USNSAmeliaEarhart donates supplies and strengthens friendship in #Philippines- _URL … _IMAGE	3764
__label__high	#OTD 1945, #VJDay: Explosive celebrations begin as #WWII ends when Japan accepts terms of Potsdam Declaration and agrees to surrender. _IMAGE	1056
__label__moderate	#OTD 1845: @NavalAcademy opens as The Naval School with 50 midshipmen and 7 professors - _URL  @USNHistory #HappyBirthday _IMAGE	1316
__label__moderate	.@NAVSURFOR: #USNavy's @SurfaceWarriors are refocused - _URL … via @navalinstitute _IMAGE	1711
__label__high	#IndependenceDay on the @USNavy historic @USSConstitution : _RETWEET …	3828
__label__small	RT @USNavyAfrica: #USSRoss arrived in #Agadir, #Morocco for a scheduled port visit to enhance U.S.-Morocco relations and strengthen regional security and stability. #ReadyForces #PartnerStrong _IMAGE	1757
__label__moderate	Check out our latest #NavyLIVE blog: 'Masters-at-Arms: Protecting the Fleet' _URL … _IMAGE	4436
__label__high	#USNavy and @USMC, one team, one fight. #BlueGreenTeam _RETWEET …	4108
__label__small	.@CNORichardson to destroyer crew, 'I've got your back' - _URL … _IMAGE	1486
__label__high	#USNavy observes LGBT #PrideMonth - _URL … #OneNavyTeam (File photo) _IMAGE	2268
__label__moderate	On this #InternationalAstronomyDay, go beyond the stars with 5 things to know about the U.S. Naval Observatory - _URL  _IMAGE	507
__label__small	MT ICYMI: .@secnav76 spoke at the U.S. Naval Institute's 2017 Defense Forum where he discussed his priorities & shared his thoughts on the future of the @USNavy and @USMC. _IMAGE	1571
__label__moderate	.@DeptOfDefense issues guidance for potential #GovernmentShutdown - _URL … _IMAGE	1790
__label__high	DAMN THE TORPEDOES … they are heavy.Thank you to the Royal Norwegian Navy and Haakonsvern Naval Base for helping load MK-48 Advanced Capability torpedoes aboard the #USNavy fast-attack submarine #USSMinnesota, currently deployed in the @USNavyEurope AOR. #NavyPartnerships _IMAGE	4343
__label__small	@secnav76 announces Omar Lopez as @RealNCIS Director - _URL … _IMAGE	3678
__label__high	Acting SECNAV orders National Ensign to be flown half-staff from sunrise until sunset on June 27 in honor of fallen #USSFitzgerald Sailors _IMAGE	806
__label__moderate	Ahead of #VeteransDay2018, thanks @NYSE for recognizing our #USNavy shipmates who served. #KnowYourMil @NavyOutreach _RETWEET …	2833
__label__moderate	#USNavy's Newest Littoral Combat Ship #USSIndianapolis Arrives in Mayport #NavyCapacity - _URL … _IMAGE	4382
__label__moderate	#TBT to #OTD 1882: Office of Naval Intelligence created & continues to evolve to be what our #USNavy & nation needs. _URL  _IMAGE	312
__label__moderate	#USNavy photos of day: #USSPorter holds General Quarters, a finalist for @navy_reserve #SOY visits the #Capital, #USSLouisville participates in #GuardianSea2019, and #USSJohnCStennis conducts a mass casualty drill! info and download: _URL … _IMAGE	3449
__label__small	LIVE 10:30A ET: Career Development Symposium empowers Sailors with knowledge & tools to manage their #USNavy careers _URL … _IMAGE	1232
__label__small	Keel laying and authentication mark symbolic beginning of #USNavy #DDG121 that honors a @USMC trailblazer - _URL  _IMAGE	200
__label__small	DoN Sexual Assault Prevention and Response director explains on @HawaiiNewsNow innovative SAPR training _URL  @PurePraxis _IMAGE	415
__label__moderate	#USNavy Fleet Week New York 2017 dates announced - _URL  _IMAGE	77
__label__high	#USNavy Region Mid-Atlantic issues Hurricane #Florence emergency evacuation for personnel residing in Hampton Roads and Virginia Zone A - _URL … #NavyReadiness _IMAGE	2610
__label__moderate	RT to congratulate the crew of #USSChancellorsville #CG62 for earning the Spokane Trophy award - _URL  (File photo) _IMAGE	715
__label__small	As #CybersecurityAwarenessMonth comes to an end, remember to stay vigilant – cybersecurity is a year-round effort. Check out these tips to better protect your personal information online – _URL … _IMAGE	2803
__label__moderate	LIVE 9:45 A ET: Watch #USNavy's newest Sailors graduate boot camp - _URL … #ForgedByTheSea _IMAGE	2447
__label__moderate	#GoNavy! _RETWEET …	2948
__label__high	BREAKING: #USSChancellorsville was forced to maneuver to avoid collisionwhen #Russian destroyer Udaloy I made an unsafe and unprofessional approachin the Phillippine Sea, June 7th. (1/2) _URL …	3699
__label__high	#BREAKING: Statement from Acting Secretary of the Navy Sean Stackley on #USSFitzgerald - _URL  #HonorTheFallen _IMAGE	764
__label__small	MT @capgaznews: @NavalAcademy gets a little nerdy with its first ever #NavyCon - _URL … _IMAGE	1510
__label__moderate	#BlueGreenTeam's #NavyReadiness underway MT @Amphib7FLT: Many hands make light work! Check out the 31st MEU @USMC adding thunder to the Lightning by loading missiles on an #F35B! _IMAGE	3133
__label__moderate	HAPPENING NOW: Adm. John C. Aquilino assumes command of @USPacificFleet from Adm. Scott H. Swift during a ceremony at Pearl Harbor. _RETWEET …	2219
__label__high	On this #July4th2017 and every night, sleep tight America. We've got the watch. _IMAGE	853
__label__small	Always a part of the crew, #USNavy @NavyWounded trials Impact #NETC Commander - _URL … _IMAGE	3375
__label__moderate	Around the fleet with today's #USNavy photos of the day:Icy departure for #USSPorter, F-35B takes flight aboard #USSWasp, #USSAbrahamLincoln gets underway for its COMPTUEX, and small-boat operations aboard #USSFortMcHenry. info and download: _URL … _IMAGE	3136
__label__moderate	#USNavy #USSFortMcHenry arrives in #Romania for scheduled port visit, first of its deployment - _URL … _IMAGE	3032
__label__small	MT @Amphib7FLT: #USSWasp welcomes Deputy Chief of Mission to Japan Joseph Young for a ship tour, providing insights on capabilities to defend US-Japan alliance. _IMAGE	1883
__label__moderate	Our photos of the day:#USNavy and Japan Maritime Self-Defense Force ships sail in formation during #KeenSword, VP-46 maintains #NavyReadiness, @NavyMCPON discusses policies supporting Sailors and families, and #USSChancellorsville replenishes-at-sea - _URL … _IMAGE	2830
__label__moderate	2017's first #NavyWeek is over, but we're just getting started! Look back and see what's ahead - _URL  @NavyOutreach _IMAGE	225
__label__moderate	Train like we fight.#USNavy Sailors conduct damage control training at the Basic Shipboard Damage Control Wet Trainer located at Naval Station Mayport. The trainer test the teamwork and damage control capabilities of Sailors preparing to deploy aboard naval vessels. _IMAGE	3978
__label__small	MT @CNORichardson: Team, we wrapped up a great series of engagements w/ Norwegian partners. Defense/Naval cooperation between US & Norway has been robust for decades & increased in recent years. We're both steadfast members of @NATO & reliable partners - _URL … _IMAGE	2351
__label__moderate	MT @usnpeople: It’s almost that time of year again! Active duty E-9 results will post tomorrow, May 8, at 11A ET to command BOL for triad access. Results will be released via NAVADMIN and posted to Sailors’ BOL on Wednesday. _IMAGE	2180
__label__small	.@NavalWarCollege and @Yale partner on a first-of-kind humanitarian simulation - _URL  _IMAGE	458
__label__high	Shift colors!Now underway with #280Characters to give you even more #USNavy protecting and defending America! _IMAGE	1419
__label__moderate	#USNavy photos of the day: #USSCarney goes underway as part of @ExSeaBreeze, #USSMichaelMurphy returns to port in #Chile, #USSConstitution holds a naturalization ceremony, and #USSMcFaul's VBSS team conducts maritime operations. info and download: _URL … _IMAGE	3831
__label__moderate	#OTD 1942: President Franklin D. Roosevelt signs act establishing Women Accepted for Volunteer Emergency Service - _URL  _IMAGE	980
__label__small	The 2018 @navy_reserve Sailor of the Year has been announced. BZ shiupmate - _URL … _IMAGE	3452
__label__small	MT @Amphib7FLT: #JMSDF pilots #USSPioneer as part of the 2JA 2017 Mine Countermeasures Exercise. #Alliance _IMAGE	970
__label__high	Who else loves driving around looking at your neighbors #Christmas lights? _IMAGE	4465
__label__moderate	Ensuring maritime regional security and fostering stronger friendships with Ukraine and other partner nations in the region. _RETWEET …	3790
__label__high	#Paralympics #MondayMotivation #ICYMI _RETWEET …	1957
__label__small	MT @USNavyEurope: ADM Foggo met with midshipmen at Naval School Murwik in #Germany to share career experiences, answer their questions and emphasize @NATO's importance in region. #WeAreNATO #PowerForPeace _IMAGE	2543
__label__small	#OTD 1987: #USSFortMcHenry commissioned. #LSD43 is named for @FortMcHenryNPS in #Baltimore, @statemaryland. @MayorPugh50 @natlparkservice _IMAGE	1012
__label__small	.@NAVSURFOR visits with Sailors aboard #USSCoronado while in #Singapore - _URL  _IMAGE	416
__label__moderate	.@USNavyEurope commander visits Her Majesty's Naval Base Clyde in Faslane, Scotland, strengthening #USNavy and @RoyalNavy partnership - _URL … _IMAGE	2496
__label__high	#USNavy celebrates LGBT #Pride2017 Month - _URL  _IMAGE	665
__label__moderate	MT @INDOPACOM: Helicopters aboard the #USSGreenBay with the @31stMEU take flight in the #EastChinaSea, providing a lethal force ready for anything in support of their mission to maintain a free and open #IndoPacific. #NavyLethality #BlueGreenTeam _IMAGE	3788
__label__high	 Today, we commemorated our #USNavy's most historically significant victory, the Battle of #Midway76. @USNHistory _RETWEET …	2291
__label__high	#WhileEveryoneIsAsleep your #USNavy maintains the watch protecting America and preserving freedom of the seas. #NavyReadiness _IMAGE	2471
__label__small	#USNavy Adm. Bill Moran to #HASC: Promise to get to the bottom of these mishaps. Leave no stone unturned.	1180
__label__moderate	#USNavy to commission littoral combat ship #USSTulsa, expanding #NavyCapacity - _URL … @cityoftulsagov @gtbynum _IMAGE	3199
__label__high	We have the watch, shipmate. #Parkland _URL …	1913
__label__high	Happy #Passover from your #USNavy family! Tonight Sailors will enjoy Passover seders with shipmates while forward deployed to protect America and preserve our nation's interests around the world. _IMAGE	3478
__label__moderate	MT @USPacificFleet: For the second time in recent months, #USSJohnCStennis receives supplies at sea in the #IndianOcean through a temporary cargo transfer initiative in #SriLanka - _URL … (File photo) _IMAGE	3121
__label__small	#LPD27 Sailors connect with namesake city through community service - _URL … #USSPortland @TedWheeler @dansaltzman @OregonGovBrown _IMAGE	2120
__label__small	LIVE 9:45A ET: Watch #USNavy's newest Sailors graduate boot camp - _URL  _IMAGE	21
__label__high	LIVE NOW: Watch the #USNavy’s newest Sailors graduate boot camp before they’re Forged by the sea. Welcome to the fleet shipmates! _RETWEET …	3598
__label__moderate	Our photos of the day: #USNavy divers go for swim at @mallofamerica, #USSRhodeIsland returns to homeport in #Georgia, Sailors signal EA-18G Growler for launch, & Landing Craft Utility 1651 enters #USSGreenBay’s well deck. info and download: _URL … _IMAGE	3294
__label__moderate	Around the fleet with #USNavy photos of the day: An #F35C Lighting conducts a test flight, #SAS2018 continues in Maryland, a Sailor visits the @natlparkservice Vietnam Memorial, and #NavyWeek #Birmingham is in full swing. info and download: _URL … _IMAGE	2077
__label__small	#USNavy launches Full Speed Ahead training, expanding existing efforts to prevent destructive behaviors - _URL  _IMAGE	106
__label__moderate	Continuing its mission and strengthening #NavyPartnerships, #USNSComfort arrives in St. Kitts and Nevis to provide medical assistance- _URL … _IMAGE	4199
__label__moderate	#USNavy #USSJohnSMcCain achieves major milestone, successfully launching from dry dock and mooring pierside at Commander, Fleet Activities Yokosuka - _URL … via @US7thFleet and @navsea _IMAGE	2913
__label__high	#MondayMotivation MT @AmericasNavy: Ready, willing and able—whenever we are called upon. #ForgedByTheSea _IMAGE	3242
__label__small	MT @Amphib7FLT: Thanks #USNSTippecanoe for the refill! #USSGreenBay continues to steam forward, ready. _IMAGE	248
__label__high	Our four-legged shipmates have been recognized with special Forever stamps from @USPS! _RETWEET …	3924
__label__high	LIVE SOON: @POTUS @realDonaldTrump awards retired #USNavy Master Chief Petty Officer (SEAL) Britt Slabinski the #MedalOfHonor at the @WhiteHouse for his heroic actions in March 2002 in Afghanistan. : _URL … _IMAGE	2242
__label__moderate	#USNavy photos of the day: A Sailor handles 57 mm rounds aboard #USSGabrielleGiffords, #USSDwightDEisenhower conducts nighttime flight-ops, #USNSComfort arrives in #SaintLucia, and an E-2D #Hawkeye readies for launch. info & download _URL … _IMAGE	4166
__label__high	LIVE #Periscope: Commissioning of #USSLittleRock #LCS9 _URL …	1624
__label__moderate	Happy #NationalBookLoversDay! Have you checked out @CNORichardson’s Professional Reading Program (PRP)? The CNO PRP encourages a lifelong habit of reading and learning for all Sailors. #NavyReadiness - _URL … _IMAGE	2495
__label__small	#USNavy kicks off participation in the 25th iteration of #CARAT in Sri Lanka - _URL … _IMAGE	3476
__label__small	#USNavy toughness could be defined by @NavalAcademy midshipman's heroism following deadly storm on a camping trip - _URL  _IMAGE	47
__label__moderate	Back at sea and back in action! Check out the #USNavy aircraft carrier #USSDwightDEisenhower as it conducts its first flight operations since returning to sea after completing a Planned Incremental Availability. #NavyReadiness #NavyLethality _IMAGE	3421
__label__moderate	LIVE 10A ET: We will #HonorTheFallen on #MemorialDay at @NYCParks' Soldiers' and Sailors' Monument. #FleetWeekNYC. _IMAGE	659
__label__high	Watch the #USNavy’s newest Sailors graduate boot camp before they’re #ForgedByTheSea. Welcome to fleet, shipmates! #GoNavyBeatArmy _RETWEET …	4438
__label__high	MT @JointBasePHH: It's the #DayOfTheDeployed. Today, we take time to recognize all the brave men and women who are currently deployed or who have been deployed. A grateful nation thanks you for all that you sacrifice. _IMAGE	2792
__label__moderate	Another milestone! The #USNavy's newest aircraft carrier USS Gerald R. Ford now heads into a Post-Shakedown Availability period after successfully completing the proper required testing during the ship's first year at sea - _URL … _IMAGE	2409
__label__small	#DYK: #SSN789 provides the capabilities required to maintain nation's undersea superiority well into 21st century. #IndianaChristening _IMAGE	510
__label__small	MT @USPacificFleet: #3rdFleetForward #USSterett visits Subic Bay, #Philippines during Western Pacific operations - _URL  _IMAGE	775
__label__moderate	LIVE 11A ET: State funeral of our #USNavy shipmate President George H.W. Bush, one of America's few seafaring presidents. #Remembering41 _URL …	2936
__label__high	LIVE NOW: Watch the U.S. Navy's newest Sailors graduate boot camp before they're forged by the sea! Welcome to the fleet shipmates. _RETWEET …	3859
__label__small	LIVE SOON: James Geurts (Assistant Secretary of the Navy for Research, Development and Acquisition) participates in #CXOtalk about innovation in US government. #NavyInnovates: _URL …: _URL … _IMAGE	2404
__label__high	MT @USNavyEurope: F/A-18 Super Hornets fly above HMS Queen Elizabeth during exercise #SaxonWarrior 2017, Aug. 5. = #PartnerStrong _IMAGE	1022
__label__high	#USNavy's first female admiral, Alene Duerk, passes away - _URL … via @USNHistory _IMAGE	2444
__label__small	Our @FlyNavy aviators already located and tracked a #UFO aka #UAP, now you need our subs too? #USNavy above, on and below the sea - #NavyCapabilities	4124
__label__moderate	MT @USFleetForces: #USSHueCity (CG 66) & Turkish Navy frigate TCG Turgutreis (F 241) depart Odessa, #Ukraine, for exercise #SeaBreeze 2017 _IMAGE	887
__label__moderate	#USSAnchorage conducts HIMARS shoot during exercise #DawnBlitz 2017 - _URL … _IMAGE	1377
__label__moderate	MT@Amphib7FLT: @LHD6BHR back in #Sasebo after month of training/ops with @USMC.Welcome back! _IMAGE	411
__label__high	Around the fleet with today's #USNavy photos of the day:#USSPorter gets underway, #USSAnchorage fosters #NavyPartnerships with the @indiannavy, and Sailors position a missile aboard #USSKearsarge. info and download: _URL … _IMAGE	3009
__label__moderate	The #USNavy photos of the day: #USSGravely departs Kiel, #Germany for #BALTOPS2019, #USSBoxer anchors off #Thailand, #USSMichaelMurphy Sailors do their namesakes workout, and a Sailor stands the helmsman watch. Info and download: _URL … _IMAGE	3725
__label__small	ICYMI: @USNavyCNO John Richardson released Version 2.0 of the Navy Family Framework on August 14th as part of a continuous effort to reinforce the #USNavy’s commitment to families. Learn More _URL … _IMAGE	3980
__label__high	#USSAbrahamLincoln #CVN72 redelivered to the fleet marking completion of extensive maintenance period, RCOH - _URL  _IMAGE	585
__label__small	LIVE 10:30A ET: Day 2 of Career Development Symposium with session for first-term E1 to E4.: _URL … _IMAGE	1243
__label__small	MT @USPacificFleet: Before #Malabar2017 heads to sea, #USNavy, @indiannavy, #JMSDF Sailors building relationships with each other, community _IMAGE	880
__label__small	LIVE 3P ET: @CNORichardson discusses what increased competition means for #USNavy - _URL … #WEST2017 _IMAGE	206
__label__moderate	#MentalHealthMonday: As Sailors and family members are dedicated to strengthening the #USNavy and its missions, they must also focus on strengthening themselves mentally as well. Be sure to follow @NavStress for daily tips on stress management today. _RETWEET …	4235
__label__moderate	UPDATED LINK: _URL … _RETWEET …	1936
__label__small	.@CNORichardson: As George Washington once said, to be prepared for war is one of the most effectual means for preserving the peace. #US2ndFleet #ReadyToFight	2561
