timestamp,replies,likes,retweets,sentence,row,has_media,hashtags,is_replied,is_reply_to,links,reply_to_users,timestamp_epochs,year,month,day
2017-01-06 16:28:01,moderate,moderate,moderate,MT @SECNAV: #SECNAV – The #USNavy ships we build now will determine the size of our fleet for years to come. #PlatformsMatter _IMAGE,16,True,"['SECNAV', 'USNavy', 'PlatformsMatterpic']",True,False,[],[],1483720081,2017,1,6
2017-01-06 16:17:59,moderate,high,high,"MT @SECNAV: #SECNAV - Every decision I have made has been with one goal in mind, strengthen the #USNavy & @USMC. _IMAGE",17,True,"['SECNAV', 'USNavy']",True,False,[],[],1483719479,2017,1,6
2017-01-06 15:06:50,moderate,small,small,LIVE NOW: Watch as the Department of the #USNavy says farewell to @SECNAV Ray Mabus - _URL  @USMC _IMAGE,18,True,['USNavy'],True,False,['http://bitly.com/2iNMDEF'],[],1483715210,2017,1,6
2017-01-06 14:45:24,small,small,small,LIVE NOW: Watch #USNavy's newest Sailors graduate boot camp - _URL  _IMAGE,19,True,['USNavy'],True,False,['http://bitly.com/2hY08Ae'],[],1483713924,2017,1,6
2017-01-06 14:26:38,small,small,small, LIVE THIS MORNING9:45A ET: #USNavy boot camp graduation - _URL  10A ET: @SECNAV farewell - _URL  _IMAGE,20,True,['USNavy'],False,False,"['http://bitly.com/2hY08Ae', 'http://bitly.com/2iNMDEF']",[],1483712798,2017,1,6
2017-01-06 13:12:44,moderate,small,small,LIVE 9:45A ET: Watch #USNavy's newest Sailors graduate boot camp - _URL  _IMAGE,21,True,['USNavy'],True,False,['http://bit.ly/2hY08Ae'],[],1483708364,2017,1,6
2017-01-06 11:54:15,moderate,small,small,LIVE 10A ET: Watch as the Department of the #USNavy says farewell to @SECNAV Ray Mabus - _URL  @USMC _IMAGE,22,True,['USNavy'],True,False,['http://bitly.com/2iNMDEF'],[],1483703655,2017,1,6
2017-01-06 00:36:13,moderate,moderate,moderate,#USNavy @CVN70 Carrier Strike Group begins Western Pacific deployment - _URL  #PresenceMatters _IMAGE,23,True,"['USNavy', 'PresenceMatterspic']",True,False,['http://bitly.com/2iVWlSm'],[],1483662973,2017,1,6
2017-01-07 21:54:00,high,high,high,"It’s not often you see security rove in snow aboard #USNavy flight deck, #USSGeorgeWashington in #Norfolk today. @WeatherChannel #Helena _IMAGE",24,True,"['USNavy', 'USSGeorgeWashington', 'Norfolk', 'Helenapic']",True,False,[],[],1483826040,2017,1,7
2017-01-07 15:28:11,moderate,moderate,moderate,US flag is presented Friday to niece of #USSOklahoma Sailor Walter Henry Sollie. @dodpaa identified his remains from #PealHarbor75 attack. _IMAGE,25,True,"['USSOklahoma', 'PealHarbor75']",True,False,[],[],1483802891,2017,1,7
2017-01-08 23:43:28,small,small,moderate,Go inside how the #NavyInnovates to unleash ingenuity within our #USNavy Sailors and civilians to protect and defend America. _RETWEET …,26,False,"['NavyInnovates', 'USNavy']",True,False,['https://twitter.com/60Minutes/status/818183390407131140'],[],1483919008,2017,1,8
2017-01-08 15:31:48,moderate,moderate,moderate,Why @TheCVN69 OFRP deployment lessons learned are strengthening confidence plan is becoming new #USNavy standard - _URL  _IMAGE,27,True,['USNavy'],True,False,['http://bitly.com/2i2ZQK6'],[],1483889508,2017,1,8
2017-01-08 01:09:30,small,small,small,"Good question. It's the ship's hull number - like its ""ID number,"" CVN 73.",28,False,[],True,True,[],"[{'screen_name': 'rusto88', 'user_id': '18438989'}]",1483837770,2017,1,8
2017-01-09 12:03:24,small,small,small,"THIS WEEK: At #SNA2017, inside how Distributed Lethality is enhancing #USNavy power at and from sea. #SeaControl. Stay tuned. _IMAGE",29,True,"['SNA2017', 'USNavy', 'SeaControl']",True,False,[],[],1483963404,2017,1,9
2017-01-09 00:36:39,moderate,small,small,"MT @60Minutes: Now on #60Minutes - Experimental, autonomous drones that could locate enemies or coordinate weapons strikes against them.",30,False,['60Minutes'],True,False,[],[],1483922199,2017,1,9
2017-01-09 00:27:58,small,small,small,"MT @60Minutes: Now on #60Minutes - Experimental, autonomous drones that could locate enemies or coordinate weapons strikes against them",31,False,['60Minutes'],True,False,[],[],1483921678,2017,1,9
2017-01-10 22:16:33,small,small,small,"Live webcasts of #SNA2017 Symposium: “Distributed Lethality, Enabling #SeaControl” sessions continue Wednesday - _URL  _IMAGE",32,True,"['SNA2017', 'SeaControl']",False,False,['http://bitly.com/SNA2017'],[],1484086593,2017,1,10
2017-01-10 20:25:52,small,small,small,"Live webcasts of #SNA2017 Symposium: “Distributed Lethality, Enabling #SeaControl” sessions continues 3:30P ET - _URL  _IMAGE",33,True,"['SNA2017', 'SeaControl']",False,False,['http://bitly.com/SNA2017'],[],1484079952,2017,1,10
2017-01-10 18:34:19,moderate,moderate,moderate,.@NAVSURFOR: …everything good our #USNavy can do starts with controlling the seas where we operate. #SNA2017 #SeaControl _IMAGE,34,True,"['USNavy', 'SNA2017', 'SeaControlpic']",True,False,[],[],1484073259,2017,1,10
2017-01-10 18:31:59,small,small,small,Read #USNavy’s #SurForStrategy - _URL  #SNA2017 #SeaControl _IMAGE,35,True,"['USNavy', 'SurForStrategy', 'SNA2017', 'SeaControlpic']",True,False,['http://bitly.com/2ifv0fL'],[],1484073119,2017,1,10
2017-01-10 18:28:17,small,small,small,".@NAVSURFOR: #SurForStrategy describes how Distributed Lethality's Tactics, Talent, Training and Tools help achieve #SeaControl. #SNA2017 _IMAGE",36,True,"['SurForStrategy', 'SeaControl', 'SNA2017pic']",True,False,[],[],1484072897,2017,1,10
2017-01-10 18:25:48,small,moderate,moderate,.@NAVSURFOR: We aren’t distributing lethality for its own sake. We are doing it to enable #SeaControl. #SNA2017 _IMAGE,37,True,"['SeaControl', 'SNA2017pic']",True,False,[],[],1484072748,2017,1,10
2017-01-10 18:24:30,moderate,moderate,moderate,".@NAVSURFOR: We — #USNavy — are back in #SeaControl game again, in a big way. #SNA2017 _IMAGE",38,True,"['USNavy', 'SeaControl', 'SNA2017pic']",True,False,[],[],1484072670,2017,1,10
2017-01-10 17:38:24,small,small,small,"Live webcasts of #SNA2017 Symposium: “Distributed Lethality, Enabling #SeaControl” sessions begin today 1P ET - _URL  _IMAGE",39,True,"['SNA2017', 'SeaControl']",False,False,['http://bitly.com/SNA2017'],[],1484069904,2017,1,10
2017-01-10 14:58:15,moderate,small,small,MT @USNHistory: #USNavy aircraft carrier @USSGeorgeHWBush (CVN 77) is commissioned #OTD in 2009. - _URL  _IMAGE,40,True,"['USNavy', 'OTD']",True,False,['http://bitly.com/2ieEaco'],[],1484060295,2017,1,10
2017-01-11 20:18:07,small,small,small,#SNA2017 Wednesday #USNavy webcastsNOW: Mine Warfare Panel4:15P ET: PACFLT Surface SAG Deployment Panel _URL  _IMAGE,41,True,"['SNA2017', 'USNavy']",True,False,['http://bitly.com/SNA2017'],[],1484165887,2017,1,11
2017-01-11 19:18:49,small,small,small,LIVE NOW: #SNA2017 keynote address by @CNICHQ Vice Adm. Dixon Smith Webcast _URL  Bio _URL  _IMAGE,42,True,['SNA2017'],True,False,"['http://bitly.com/SNA2017', 'http://1.usa.gov/1eX0cbz']",[],1484162329,2017,1,11
2017-01-11 15:15:09,small,small,small,"LIVE NOW: @SECNAV’s keynote address at #SNA2017 “Distributed Lethality, Enabling #SeaControl” _URL  _IMAGE",43,True,"['SNA2017', 'SeaControl']",False,False,['http://bitly.com/SNA2017'],[],1484147709,2017,1,11
2017-01-11 14:55:07,small,small,small,"#ICYMI: #SNA2017 “Distributed Lethality, Enabling #SeaControl” got underway Tuesday _URL  _URL  _IMAGE",44,True,"['ICYMI', 'SNA2017', 'SeaControl']",True,False,"['http://bitly.com/2ifXQcP', 'http://bitly.com/SNA2017']",[],1484146507,2017,1,11
2017-01-11 14:29:21,small,small,small,"LIVE 10:15A ET: @SECNAV keynote address at #SNA2017 Symposium: “Distributed Lethality, Enabling #SeaControl” - _URL  _IMAGE",45,True,"['SNA2017', 'SeaControl']",True,False,['http://bitly.com/SNA2017'],[],1484144961,2017,1,11
2017-01-11 01:56:40,moderate,small,small,MT @JohnKerry: Fifty years ago I was commissioned in #USNavy. Honored today to speak with next generation of #Midshipmen at @NavalAcademy. _IMAGE,46,True,"['USNavy', 'Midshipmen']",True,False,[],[],1484099800,2017,1,11
2017-01-11 00:36:05,small,small,small,#USNavy toughness could be defined by @NavalAcademy midshipman's heroism following deadly storm on a camping trip - _URL  _IMAGE,47,True,['USNavy'],True,False,['http://bitly.com/2idLuSs'],[],1484094965,2017,1,11
2017-01-12 19:05:39,small,small,small,LIVE 2:15P ET: #SNA2017 Ship Maintenance Panel _URL  @NAVSEA's VADM Moore _URL  _IMAGE,48,True,['SNA2017'],True,False,"['http://bitly.com/SNA2017', 'http://bitly.com/2int4lu']",[],1484247939,2017,1,12
2017-01-12 15:10:32,small,small,small,Today's #SNA2017 symposium webcasts: _URL  VADM Moore _URL  _IMAGE,49,True,['SNA2017'],False,False,"['http://bitly.com/SNA2017', 'http://bitly.com/2int4lu']",[],1484233832,2017,1,12
2017-01-12 14:47:40,small,small,small,#ICYMI: @SECNAV addressed #USNavy fleet growth & innovation at #SNA2017 symposium - _URL  #PlatformsMatter #NavyInnovates _IMAGE,50,True,"['ICYMI', 'USNavy', 'SNA2017', 'PlatformsMatter', 'NavyInnovatespic']",True,False,['http://bitly.com/2j4cXrH'],[],1484232460,2017,1,12
2017-01-12 13:21:56,small,small,small,Today's #SNA2017 symposium webcasts: _URL  ADM Tidd _URL  VADM Moore _URL  _IMAGE,51,True,['SNA2017'],True,False,"['http://bitly.com/SNA2017', 'http://bitly.com/2igg8iL', 'http://bitly.com/2int4lu']",[],1484227316,2017,1,12
2017-01-13 19:47:02,small,small,small,MT @NavBaseSD: CNP Vice Adm. Robert Burke & FLTCM April Beldo discusses Sailor 2025 initiative during all-hands call _URL  _IMAGE,52,True,[],True,False,['http://bitly.com/2isqb2H'],[],1484336822,2017,1,13
2017-01-13 17:38:01,small,small,small,MT @SECNAV: #SECNAV presents 1 Navy Cross & 4 Silver Stars at Cherry Point N.C. #PeopleMatter _IMAGE,53,True,"['SECNAV', 'PeopleMatterpic']",True,False,[],[],1484329081,2017,1,13
2017-01-13 16:04:19,moderate,moderate,moderate,"MT @USNHistory: #OTD in 1943, near Brazil, #USNavy aircraft sink German sub, which had sunk 19 other ships, including seven American. _IMAGE",54,True,"['OTD', 'USNavy']",True,False,[],[],1484323459,2017,1,13
2017-01-13 14:45:34,small,small,moderate,NOW: Watch #USNavy's newest Sailors graduate boot camp - _URL  _IMAGE,55,True,['USNavy'],True,False,['http://bitly.com/2ikAje0'],[],1484318734,2017,1,13
2017-01-14 20:04:52,moderate,moderate,moderate,MT @SECNAV: #SECNAV presents 8 Navy Crosses & 8 Silver Stars to members of Naval Special Warfare community. #PeopleMatter _IMAGE,56,True,"['SECNAV', 'PeopleMatterpic']",True,False,[],[],1484424292,2017,1,14
2017-01-14 15:02:04,moderate,moderate,moderate,"MT @NavStress: Enjoy your weekend! If you/a shipmate need help, reach out. Call/chat 24/7: 1-800-273-8255 press 1 or text 838255 #1SmallACT _IMAGE",57,True,['1SmallACTpic'],True,False,[],[],1484406124,2017,1,14
2017-01-17 19:51:14,small,small,moderate,#USSMonterey outchops from #6thFleet area of operations - _URL  _IMAGE,58,True,"['USSMonterey', '6thFleet']",True,False,['http://bitly.com/2iE4WrL'],[],1484682674,2017,1,17
2017-01-17 16:15:52,moderate,small,small,Five things first-term #USNavy Sailors on sea duty need to know about extending their enlistment - _URL  via @AllHandsMag _IMAGE,59,True,['USNavy'],True,False,['http://bitly.com/2jsSzTP'],[],1484669752,2017,1,17
2017-01-17 13:19:32,small,small,small,"MT @DefenseOne: Today, @CNORichardson sits down with @DefenseBaron for 1st D Brief LIVE event of the year - _URL  _IMAGE",60,True,[],True,False,['http://bitly.com/2jk0IaJ'],[],1484659172,2017,1,17
2017-01-17 11:54:17,moderate,small,small,RT @USNavyKorea: Today @US7thFleet met with #ROKFLT to discuss future exercises and ways to continue strengthening the #ROKUSAlliance. _IMAGE,61,True,"['ROKFLT', 'ROKUSAlliance']",True,False,[],[],1484654057,2017,1,17
2017-01-17 00:29:45,high,high,high,"Fair winds & following seas to our shipmate retired #USNavy Capt Eugene Cernan, last man on moon, who died today - _URL  _IMAGE",62,True,['USNavy'],True,False,['http://cnn.it/2jYgQlx'],[],1484612985,2017,1,17
2017-01-18 23:12:13,moderate,small,small,Read @SECNAV Ray Mabus' farewell message here - _URL  _IMAGE,63,True,[],True,False,['http://bitly.com/2jxtcA4'],[],1484781133,2017,1,18
2017-01-18 21:14:11,small,small,small,Distance is no obstacle to gaining @NavalWarCollege diploma - _URL  _IMAGE,64,True,[],True,False,['http://bitly.com/2jx5DHU'],[],1484774051,2017,1,18
2017-01-18 17:04:36,moderate,moderate,high,"MT @USNHistory: #OTD in 1911, 1st aircraft landing aboard a ship happens aboard USS Pennsylvania while anchored in San Francisco Bay. _IMAGE",65,True,['OTD'],True,False,[],[],1484759076,2017,1,18
2017-01-18 14:13:27,small,small,small,"MT @usnavykorea: RDML Brad Cooper, met with @ROK_Navy's MTF7 commander, RDML Kim, Jung-soo, to discuss ways to strengthen the #ROKUSAlliance _IMAGE",66,True,['ROKUSAlliancepic'],True,False,[],[],1484748807,2017,1,18
2017-01-18 00:42:12,high,moderate,moderate,#USNavy T-45C Goshawk jet aircraft crashes at NAS Meridian; student & instructor pilot eject safely - _URL  (File photo) _IMAGE,67,True,['USNavy'],True,False,['http://bitly.com/2juvsIp'],[],1484700132,2017,1,18
2017-01-19 23:12:42,high,moderate,moderate,.@CVN77_GHWB Carrier Strike Group to depart for deployment - _URL  _IMAGE,68,True,[],True,False,['http://bitly.com/2jD6dUm'],[],1484867562,2017,1,19
2017-01-19 21:05:00,moderate,moderate,moderate,MT @USNHistory: Happy Birthday #USNavy Master Diver Carl M. Brashear! His #navalhistory became a #Hollywood film. - _URL  _IMAGE,69,True,"['USNavy', 'navalhistory', 'Hollywood']",True,False,['http://bitly.com/2js4crw'],[],1484859900,2017,1,19
2017-01-19 19:01:31,moderate,moderate,high,"#SECNAV announced today that the future USS Sioux City (LCS 11) will be commissioned in Annapolis, MD. _IMAGE",70,True,['SECNAV'],True,False,[],[],1484852491,2017,1,19
2017-01-19 17:05:06,small,small,small,MT @SECNAV: #SECNAV delivers a final message to the fleet. Read it here: _URL  _IMAGE,71,True,['SECNAV'],True,False,['http://bitly.com/2js0WN1'],[],1484845506,2017,1,19
2017-01-19 13:21:51,moderate,small,moderate,MPT&E Fleet Master Chief retires with over three decades of #USNavy service - _URL  _IMAGE,72,True,['USNavy'],True,False,['http://bitly.com/2jrGprY'],[],1484832111,2017,1,19
2017-01-20 17:55:38,moderate,moderate,moderate,"Acting #SECNAV, other #USNavy leaders announced following Presidential Inauguration - _URL  _IMAGE",73,True,"['SECNAV', 'USNavy']",True,False,['http://bitly.com/2k9afAw'],[],1484934938,2017,1,20
2017-01-20 16:37:12,small,small,small,#DYK?: @USNavyBand's Chief Musician Courtney Williams is the #Inauguration public address announcer. (#USNavy file photo) _IMAGE,74,True,"['DYK', 'Inauguration', 'USNavy']",True,False,[],[],1484930232,2017,1,20
2017-01-21 18:21:29,moderate,moderate,small,#ICYMI: @USNavyBand's Chief Musician Courtney Williams served as #Inauguration public address announcer. _IMAGE,75,True,"['ICYMI', 'Inauguration']",True,False,[],[],1485022889,2017,1,21
2017-01-21 13:37:04,high,high,high,TODAY: #USNavy @CVN77_GHWB Carrier Strike Group departs for regularly-scheduled deployment - _URL  (File photo) _IMAGE,76,True,['USNavy'],True,False,['http://bitly.com/2jD6dUm'],[],1485005824,2017,1,21
2017-01-21 12:10:58,moderate,moderate,moderate,#USNavy Fleet Week New York 2017 dates announced - _URL  _IMAGE,77,True,['USNavy'],True,False,['http://bitly.com/2jrB9ob'],[],1485000658,2017,1,21
2017-01-21 01:48:54,high,high,high,JUST IN: Message to the @DeptOfDefense from #SecDef James Mattis – _URL  #Inauguration _IMAGE,78,True,"['SecDef', 'Inaugurationpic']",True,False,['http://bitly.com/2kakkNH'],[],1484963334,2017,1,21
2017-01-21 00:40:19,high,high,high,MT @PressSec: The @vp has sworn in James Mattis as @DeptofDefense #SecDef. #Inauguration _IMAGE,79,True,"['SecDef', 'Inaugurationpic']",True,False,[],[],1484959219,2017,1,21
2017-01-22 15:05:03,moderate,moderate,high,2017 marking 75th anniversary of #USNavy #Seabees - _URL  _IMAGE,80,True,"['USNavy', 'Seabees']",True,False,['http://bitly.com/2kgJGO8'],[],1485097503,2017,1,22
2017-01-22 01:33:02,high,moderate,moderate,ICYMI: #USNavy @CVN77_GHWB Carrier Strike Group departed today for regularly-scheduled deployment - _URL  _IMAGE,81,True,['USNavy'],True,False,['http://bitly.com/2jD6dUm'],[],1485048782,2017,1,22
2017-01-23 23:13:07,moderate,small,small,#USSMakinIsland provides medical assistance to Pakistani sailor - _URL  _IMAGE,82,True,['USSMakinIsland'],True,False,['http://bitly.com/2jIXJso'],[],1485213187,2017,1,23
2017-01-23 20:12:56,small,small,small,"MT @USNHistory: #OTD in 1946, the first Medal of Honor is awarded to a #USNavy Chaplain, Lt. Cmdr. Joseph T. O'Callahan. #MOH _IMAGE",83,True,"['OTD', 'USNavy', 'MOHpic']",True,False,[],[],1485202376,2017,1,23
2017-01-23 17:04:25,moderate,moderate,moderate,"MT @USPacificFleet: #USSJohnSMcCain arrives in Subic Bay, #Philippines for port visit during @US7thFleet patrol - _URL  _IMAGE",84,True,"['USSJohnSMcCain', 'Philippines']",True,False,['http://bitly.com/2jTmBQO'],[],1485191065,2017,1,23
2017-01-24 23:12:38,small,small,small,#USNavy synthetically recreates biomaterial to assist military personnel - _URL  _IMAGE,85,True,['USNavy'],True,False,['http://bitly.com/2jNmjbW'],[],1485299558,2017,1,24
2017-01-24 19:49:21,small,small,small,#USNavy registers trademarks for Carderock's SeaGlide® - _URL  _IMAGE,86,True,['USNavy'],True,False,['http://bitly.com/2jNycye'],[],1485287361,2017,1,24
2017-01-24 13:52:15,small,moderate,small,"MT @LHD6BHR: BHR Sailors delivered non-perishable goods to the Sasebo Rinjin Ai No Kai organization, which supports the homeless and needy. _IMAGE",87,True,[],True,False,[],[],1485265935,2017,1,24
2017-01-25 23:20:27,moderate,small,moderate,MT @navyregsw: @FlyNavy air boss introduces the new #USNavy #F35-C to NAS Lemoore! _IMAGE,88,True,"['USNavy', 'F35']",True,False,[],[],1485386427,2017,1,25
2017-01-25 22:57:13,moderate,moderate,moderate,MT @navyregsw: #USNavy #F35-C capabilities are critical to maritime strike warfare and future carrier air wing. @FlyNavy at NAS Lemoore. _IMAGE,89,True,"['USNavy', 'F35']",True,False,[],[],1485385033,2017,1,25
2017-01-25 22:32:58,moderate,moderate,moderate,MT @navyregsw: Welcome aboard #USNavy #F35-C to NAS Lemoore! Ready to join the fight! @FlyNavy _IMAGE,90,True,"['USNavy', 'F35']",True,False,[],[],1485383578,2017,1,25
2017-01-25 20:04:14,small,small,small,#USSGreenBay departs for patrol in Indo-Asia Pacific Region - _URL  _IMAGE,91,True,['USSGreenBay'],True,False,['http://bitly.com/2j4ZVxA'],[],1485374654,2017,1,25
2017-01-25 17:22:43,moderate,small,small,"#USNavy Sailors put boots on ice aboard McMurdo Station, Antarctica for #OperationDeepFreeze 2017 - _URL  (File pic) _IMAGE",92,True,"['USNavy', 'OperationDeepFreeze']",True,False,['http://bitly.com/2j51HPf'],[],1485364963,2017,1,25
2017-01-25 14:34:53,small,small,small,.@CNORichardson releases the Leadership Development Framework - _URL  _IMAGE,93,True,[],True,False,['http://bitly.com/2jRoOda'],[],1485354893,2017,1,25
2017-01-26 23:55:11,moderate,moderate,moderate,NAVADMIN released today updates several previously announced #USNavy uniform policy changes - _URL  _IMAGE,94,True,['USNavy'],True,False,['http://bitly.com/2k7iIHK'],[],1485474911,2017,1,26
2017-01-26 17:48:58,small,small,moderate,"MT @USNHistory: #OTD in 1913, body of #USNavy #Legend John Paul Jones is laid in its final resting place at @NavalAcademy _IMAGE",95,True,"['OTD', 'USNavy', 'Legend']",True,False,[],[],1485452938,2017,1,26
2017-01-26 15:07:15,high,moderate,high,"RT & tag your #milspouse! In honor of #NationalSpousesDay, we thank all of our #USNavy spouses for their sacrifice & dedication. _IMAGE",96,True,"['milspouse', 'NationalSpousesDay', 'USNavy']",True,False,[],[],1485443235,2017,1,26
2017-01-26 02:45:56,small,small,small,More details on the #USNavy program here: _URL ,97,False,['USNavy'],True,True,['http://bitly.com/2jO0N6J'],"[{'screen_name': 'USNavy', 'user_id': '54885400'}]",1485398756,2017,1,26
2017-01-26 02:13:28,moderate,moderate,moderate,#USNavy's Career Intermission Program balances service and flexibility - _IMAGE,98,True,['USNavy'],True,False,[],[],1485396808,2017,1,26
2017-01-27 23:49:36,moderate,small,small,.@NavalAcademy holds #ShipSelection17 night - _URL  _IMAGE,99,True,['ShipSelection17'],True,False,['http://bitly.com/2jedRFj'],[],1485560976,2017,1,27
2017-01-28 17:15:09,moderate,small,small,#ICYMI: #USNavy Leadership Development Framework released - _URL  _IMAGE,100,True,"['ICYMI', 'USNavy']",True,False,['http://bitly.com/2jRoOda'],[],1485623709,2017,1,28
2017-01-29 19:13:56,high,moderate,high,A shipmate who defined toughness. MT @SDUT: #USNavy's oldest living #PearlHarbor75 salvage diver passes away at 103 _URL ,101,False,"['USNavy', 'PearlHarbor75']",True,False,['http://bitly.com/2jsFrtH'],[],1485717236,2017,1,29
2017-01-29 02:47:57,small,small,small,That is correct. We removed the incorrect tweet.,102,False,[],True,True,[],"[{'screen_name': 'jbarker67', 'user_id': '343644682'}]",1485658077,2017,1,29
2017-01-29 02:47:17,small,small,small,That is correct. We have removed the incorrect tweet.,103,False,[],False,True,[],"[{'screen_name': 'TJTropea', 'user_id': '79316065'}]",1485658037,2017,1,29
2017-01-29 02:44:52,small,small,small,We have removed the incorrect tweet.,104,False,[],False,True,[],"[{'screen_name': 'jgoldsmith329', 'user_id': '1158808753'}]",1485657892,2017,1,29
2017-01-30 23:23:01,high,high,high,"#HonorTheFallen: #USNavy Chief Special Warfare Operator William ""Ryan"" Owens killed in a raid against al-Qaida - _URL  _IMAGE",105,True,"['HonorTheFallen', 'USNavy']",True,False,['https://goo.gl/oso1tO'],[],1485818581,2017,1,30
2017-01-30 21:12:39,small,small,small,"#USNavy launches Full Speed Ahead training, expanding existing efforts to prevent destructive behaviors - _URL  _IMAGE",106,True,['USNavy'],True,False,['https://goo.gl/C5bY7V'],[],1485810759,2017,1,30
2017-01-30 17:37:53,small,small,small,#ICYMI: @NavalAcademy holds #ShipSelection17 night - _URL  _IMAGE,107,True,"['ICYMI', 'ShipSelection17']",True,False,['http://bitly.com/2jedRFj'],[],1485797873,2017,1,30
2017-01-30 13:12:34,moderate,moderate,moderate,MT @NavyMedicine: Congrats to #USNavy HM1 Cameron Graham on his selection as #NavyMedicine Sailor of the Year. #CorpsmanUp! _IMAGE,108,True,"['USNavy', 'NavyMedicine', 'CorpsmanUp']",True,False,[],[],1485781954,2017,1,30
2017-01-30 01:17:05,moderate,moderate,moderate,MT @US5thFleet: #USNavy #USSCole (DDG 67) provides assistance to Iranian-flagged dhow - _URL  _IMAGE,109,True,"['USNavy', 'USSCole']",True,False,['http://bitly.com/2jt5WiS'],[],1485739025,2017,1,30
